Mato,0,arcana,/sola-busca/0_Mato.jpeg
Panfilio,1,arcana,/sola-busca/I_Panfilio.jpeg
Postumio,2,arcana,/sola-busca/II_Postumio.jpeg
Lenpio,3,arcana,/sola-busca/III_Lenpio.jpeg
Mario,4,arcana,/sola-busca/IIII_Mario.jpeg
Catulo,5,arcana,/sola-busca/V_Catulo.jpeg
Sesto,6,arcana,/sola-busca/VI_Sesto.jpeg
Deo Tauro,7,arcana,/sola-busca/VII_Deo_Tauro.jpeg
Nerone,8,arcana,/sola-busca/VIII_Nerone.jpeg
Falco,9,arcana,/sola-busca/VIIII_Falco.jpeg
Venturio,10,arcana,/sola-busca/X_Venturio.jpeg
Tulio,11,arcana,/sola-busca/XI_Tulio.jpeg
Carbone,12,arcana,/sola-busca/XII_Carbone.jpeg
Catone,13,arcana,/sola-busca/XIII_Catone.jpeg
Bocho,14,arcana,/sola-busca/XIIII_Bocho.jpeg
Metelo,15,arcana,/sola-busca/XV_Metelo.jpeg
Olivo,16,arcana,/sola-busca/XVI_Olivo.jpeg
Ipeo,17,arcana,/sola-busca/XVII_Ipeo.jpeg
Lentulo,18,arcana,/sola-busca/XVIII_Lentulo.jpeg
Sabino,19,arcana,/sola-busca/XVIIII_Sabino.jpeg
Nenbroto,20,arcana,/sola-busca/XX_Nenbroto.jpeg
Nabuchodenasor,21,arcana,/sola-busca/XXI_Nabuchodenasor.jpeg
Ace of Cups,1,cups,/sola-busca/Ace_of_Cups.jpeg
Two of Cups,2,cups,/sola-busca/Two_of_Cups.jpeg
Three of Cups,3,cups,/sola-busca/Three_of_Cups.jpeg
Four of Cups,4,cups,/sola-busca/Four_of_Cups.jpeg
Five of Cups,5,cups,/sola-busca/Five_of_Cups.jpeg
Six of Cups,6,cups,/sola-busca/Six_of_Cups.jpeg
Seven of Cups,7,cups,/sola-busca/Seven_of_Cups.jpeg
Eight of Cups,8,cups,/sola-busca/Eight_of_Cups.jpeg
Nine of Cups,9,cups,/sola-busca/Nine_of_Cups.jpeg
Ten of Cups,10,cups,/sola-busca/Ten_of_Cups.jpeg
Knave of Cups,N,cups,/sola-busca/Knave_of_Cups.jpeg
Knight of Cups,T,cups,/sola-busca/Knight_of_Cups.jpeg
Queen of Cups,Q,cups,/sola-busca/Queen_of_Cups.jpeg
King of Cups,K,cups,/sola-busca/King_of_Cups.jpeg
Ace of Coins,1,coins,/sola-busca/Ace_of_Coins.jpeg
Two of Coins,2,coins,/sola-busca/Two_of_Coins.jpeg
Three of Coins,3,coins,/sola-busca/Three_of_Coins.jpeg
Four of Coins,4,coins,/sola-busca/Four_of_Coins.jpeg
Five of Coins,5,coins,/sola-busca/Five_of_Coins.jpeg
Six of Coins,6,coins,/sola-busca/Six_of_Coins.jpeg
Seven of Coins,7,coins,/sola-busca/Seven_of_Coins.jpeg
Eight of Coins,8,coins,/sola-busca/Eight_of_Coins.jpeg
Nine of Coins,9,coins,/sola-busca/Nine_of_Coins.jpeg
Ten of Coins,10,coins,/sola-busca/Ten_of_Coins.jpeg
Knave of Coins,N,coins,/sola-busca/Knave_of_Coins.jpeg
Knight of Coins,T,coins,/sola-busca/Knight_of_Coins.jpeg
Queen of Coins,Q,coins,/sola-busca/Queen_of_Coins.jpeg
King of Coins,K,coins,/sola-busca/King_of_Coins.jpeg
Ace of Batons,1,batons,/sola-busca/Ace_of_Batons.jpeg
Two of Batons,2,batons,/sola-busca/Two_of_Batons.jpeg
Three of Batons,3,batons,/sola-busca/Three_of_Batons.jpeg
Four of Batons,4,batons,/sola-busca/Four_of_Batons.jpeg
Five of Batons,5,batons,/sola-busca/Five_of_Batons.jpeg
Six of Batons,6,batons,/sola-busca/Six_of_Batons.jpeg
Seven of Batons,7,batons,/sola-busca/Seven_of_Batons.jpeg
Eight of Batons,8,batons,/sola-busca/Eight_of_Batons.jpeg
Nine of Batons,9,batons,/sola-busca/Nine_of_Batons.jpeg
Ten of Batons,10,batons,/sola-busca/Ten_of_Batons.jpeg
Knave of Batons,N,batons,/sola-busca/Knave_of_Batons.jpeg
Knight of Batons,T,batons,/sola-busca/Knight_of_Batons.jpeg
Queen of Batons,Q,batons,/sola-busca/Queen_of_Batons.jpeg
King of Batons,K,batons,/sola-busca/King_of_Batons.jpeg
Ace of Swords,1,swords,/sola-busca/Ace_of_Swords.jpeg
Two of Swords,2,swords,/sola-busca/Two_of_Swords.jpeg
Three of Swords,3,swords,/sola-busca/Three_of_Swords.jpeg
Four of Swords,4,swords,/sola-busca/Four_of_Swords.jpeg
Five of Swords,5,swords,/sola-busca/Five_of_Swords.jpeg
Six of Swords,6,swords,/sola-busca/Six_of_Swords.jpeg
Seven of Swords,7,swords,/sola-busca/Seven_of_Swords.jpeg
Eight of Swords,8,swords,/sola-busca/Eight_of_Swords.jpeg
Nine of Swords,9,swords,/sola-busca/Nine_of_Swords.jpeg
Ten of Swords,10,swords,/sola-busca/Ten_of_Swords.jpeg
Knave of Swords,N,swords,/sola-busca/Knave_of_Swords.jpeg
Knight of Swords,T,swords,/sola-busca/Knight_of_Swords.jpeg
Queen of Swords,Q,swords,/sola-busca/Queen_of_Swords.jpeg
King of Swords,K,swords,/sola-busca/King_of_Swords.jpeg